,DATETIME,LAT,LONG,DEPTH,MAGNITUDE
5444,2/18/1980 10:36,40.7,23.5,10,3.7
5445,2/24/1980 15:13,39.4,23.8,10,3.4
5446,2/25/1980 3:36,38.9,23.8,10,3.3
5447,2/26/1980 4:47,36.5,25.9,10,3.7
5448,2/26/1980 10:07,38.7,23.3,10,2.9
5449,2/28/1980 8:45,36.8,22.0,10,3.2
5450,2/28/1980 10:47,37.8,23.0,10,2.9
5451,2/28/1980 23:45,38.3,23.2,10,4.3
5452,2/29/1980 0:14,38.2,23.2,10,2.7
5453,2/29/1980 0:23,38.3,23.2,10,3.6
5454,2/29/1980 0:34,38.3,23.2,10,2.7
5455,2/29/1980 2:03,38.3,23.1,10,2.4
5456,2/29/1980 3:58,38.3,23.2,10,2.8
5457,2/29/1980 4:05,38.3,23.1,10,2.6
5458,2/29/1980 4:16,38.3,23.1,10,3.8
5459,2/29/1980 4:35,38.3,23.2,10,2.8
5460,2/29/1980 5:40,38.3,23.2,10,2.7
5461,2/29/1980 6:03,38.3,23.2,10,2.9
5462,2/29/1980 8:36,38.3,23.2,10,2.6
5463,2/29/1980 8:38,38.3,23.2,10,3.0
5464,2/29/1980 16:44,38.3,23.2,10,2.7
5465,2/29/1980 17:15,38.4,23.1,10,2.8
5466,2/29/1980 20:58,38.3,23.1,10,2.9
5467,3/1/1980 11:25,39.3,23.0,10,3.1
5468,3/6/1980 3:27,38.9,26.6,10,3.6
5469,3/6/1980 13:49,38.2,21.9,10,3.1
5470,3/7/1980 7:01,38.4,22.1,10,2.8
5471,3/7/1980 22:25,38.9,23.9,10,3.5
5472,3/9/1980 0:46,38.3,22.0,10,3.2
5473,3/9/1980 0:49,38.2,21.9,10,3.1
5474,3/9/1980 1:00,38.2,21.9,10,3.3
5475,3/9/1980 9:53,38.1,22.8,10,2.9
5476,3/10/1980 14:24,37.0,22.1,10,3.0
5477,3/11/1980 2:41,38.4,23.1,10,2.7
5478,3/12/1980 5:43,37.5,21.6,10,2.9
5479,3/13/1980 8:34,38.2,23.1,10,3.0
5480,3/13/1980 10:16,39.1,24.5,10,3.0
5481,3/14/1980 4:25,38.3,21.8,10,2.9
5482,3/14/1980 12:31,37.7,20.7,10,3.4
5483,3/14/1980 13:04,41.0,22.3,10,3.8
5484,3/15/1980 2:48,38.0,22.2,10,3.1
5485,3/16/1980 10:56,39.0,25.6,10,3.1
5486,3/17/1980 14:33,38.2,23.2,10,3.2
5487,3/18/1980 22:33,38.6,22.7,10,2.9
5488,3/20/1980 18:37,38.3,22.0,10,3.4
5489,3/20/1980 19:27,38.1,22.0,10,3.1
5490,3/20/1980 19:36,38.2,22.4,10,2.9
5491,3/20/1980 20:37,38.2,22.8,10,3.2
5492,3/21/1980 0:55,38.3,22.2,10,2.9
5493,3/21/1980 5:47,38.3,22.0,10,3.1
5494,3/27/1980 11:13,37.2,23.4,10,2.7
